WellName,Formation Class,Latitude_BH,Longitude_BH,TVD_FT,TopOfZone_FT,BottomOfZone_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,TotalOrganicCarbon_WTPCT
W5352,A,31.98590863,-103.6508799,11949,11834.4149,12225.00504,416.640236,81.45683,2.580229,106.915404,0.076114,0.055713,2.226787
W5353,A,31.84688631,-103.786868,10896,10851.70897,11271.64124,416.671373,80.200833,2.517215,208.731162,0.090842,0.075193,2.522595
W5354,A,31.64972487,-103.7331677,10732,10644.18109,11066.22685,416.679355,87.813641,2.56855,194.805889,0.08273,0.065779,2.903806
W5355,A,31.92794897,-103.8662795,10631,10468.46825,10888.56805,416.681583,79.062722,2.540545,856.983322,0.085808,0.067863,2.467169
W5356,A,31.95667223,-103.9206266,10315,10139.57933,10581.30336,416.685164,80.280201,2.543323,503.026774,0.092491,0.063105,2.518231
W5357,A,31.95667223,-103.9204666,10315,10139.57933,10581.30336,416.685164,80.280201,2.543323,503.026774,0.092491,0.063105,2.518231
W5358,A,31.95639353,-103.9183253,10317,10139.57933,10581.30336,416.685164,80.280201,2.543323,503.026774,0.092491,0.063105,2.518231
W5359,A,31.95667605,-103.9215435,10465,10139.57933,10581.30336,416.685164,80.280201,2.543323,503.026774,0.092491,0.063105,2.518231
W5360,A,31.9566751,-103.9192171,10469,10139.57933,10581.30336,416.685164,80.280201,2.543323,503.026774,0.092491,0.063105,2.518231
W5361,A,31.67910877,-103.8835706,10597,10265.22387,10676.68702,416.699751,88.84186,2.558955,153.205161,0.087774,0.070035,2.733593
W5362,A,31.85462443,-103.8919329,10309,10131.63101,10520.65962,416.780259,79.587269,2.515879,440.104934,0.093607,0.076422,2.641325
W5363,A,31.75282871,-103.8395966,10870,10432.29627,10914.45952,416.804489,88.907625,2.516548,181.296441,0.105201,0.083373,3.087454
W5364,B,31.684971,-103.201943,8000,7801.851273,8213.762339,416.82957,36.176711,2.627307,1428.001551,0.04817,0.046122,1.217482
W5365,A,31.46152843,-103.6894648,10087,9948.509451,10361.80157,416.864478,90.83471,2.544456,126.054675,0.096847,0.070065,2.398291
W5366,A,31.4614127,-103.6939295,10113,9948.509451,10361.80157,416.864478,90.83471,2.544456,126.054675,0.096847,0.070065,2.398291
W5367,A,31.72300871,-103.8506563,10507,10398.34805,10806.38254,416.956103,88.108703,2.547948,200.42411,0.093447,0.073818,2.901998
W5368,A,31.5988163,-103.8144469,10569,10522.21859,10947.30239,416.993894,86.716184,2.573629,183.907427,0.07981,0.060001,2.706894
W5369,A,31.62732581,-103.8115418,10578,10522.21859,10947.30239,416.993894,86.716184,2.573629,183.907427,0.07981,0.060001,2.706894
W5370,A,31.62720844,-103.8109156,10586,10522.21859,10947.30239,416.993894,86.716184,2.573629,183.907427,0.07981,0.060001,2.706894
W5371,A,31.62730085,-103.8130798,10610,10522.21859,10947.30239,416.993894,86.716184,2.573629,183.907427,0.07981,0.060001,2.706894
W5372,A,31.72383538,-103.8591603,10597,10379.2347,10815.87192,417.06491,88.542868,2.524498,207.543463,0.104051,0.082058,3.092177
W5373,A,31.6800822,-103.8566425,10608,10375.86001,10783.75131,417.077172,88.159331,2.547671,197.469137,0.093546,0.073987,2.894817
W5374,A,31.579052,-103.655159,10970,10942.8064,11363.75182,417.0819,85.621447,2.527684,41.279884,0.106738,0.074036,3.088176
W5375,B,32.18050836,-103.7358013,8261,8042.749343,8438.320306,417.095665,74.911464,2.594154,1541.852239,0.06777,0.058721,2.358997
W5376,A,31.87005002,-103.8689131,10422,10291.60362,10701.41447,417.243673,78.008535,2.517705,530.3694,0.090919,0.074355,2.557657
W5377,A,31.883714,-103.876996,10392,10258.42644,10664.59403,417.285527,78.174705,2.518533,537.375741,0.090895,0.074249,2.56396
W5378,A,31.89758182,-103.7375458,11324,11177.17488,11591.86152,417.294163,79.54001,2.534427,106.140535,0.087715,0.072981,2.484281
W5379,A,31.89771594,-103.735275,11552,11177.17488,11591.86152,417.294163,79.54001,2.534427,106.140535,0.087715,0.072981,2.484281
W5380,A,31.8696658,-103.8663309,10366,10325.59331,10738.80832,417.325488,77.873987,2.517007,521.057355,0.09093,0.074446,2.551328
W5381,A,32.09448566,-104.2646624,8948,9568.428401,10252.58904,417.331104,104.167619,2.618632,12.865793,0.053562,0.038739,2.572282
W5382,A,31.730851,-103.856884,10663,10385.22962,10848.09635,417.371323,88.618642,2.514088,189.54404,0.106908,0.084673,3.120338
W5383,A,32.252724,-103.806923,11603,11514.3323,11943.1776,417.411337,71.430411,2.591012,75.116174,0.069526,0.061998,2.341568
W5384,A,31.73827898,-103.8589516,10399,10374.45034,10828.21005,417.501028,88.562232,2.514906,193.764534,0.107155,0.084749,3.131815
W5385,B,32.26910739,-103.7007814,9316,8951.855877,9372.294159,417.51944,62.869522,2.519739,1300.416704,0.111286,0.092604,2.682903
W5386,A,31.86906672,-103.8596045,10379,10360.38969,10776.73922,417.596877,77.790881,2.516439,509.74803,0.090933,0.074523,2.54519
W5387,A,31.941449,-103.8992366,10503,10219.90169,10643.11316,417.723832,79.254564,2.540241,756.157661,0.085961,0.067446,2.49648
W5388,A,31.73835082,-103.8614106,10275,10376.46539,10828.02651,417.771652,88.574883,2.517145,197.561255,0.106548,0.084175,3.126784
W5389,A,31.91245973,-103.9231776,10073,9971.199727,10354.46896,417.807323,80.049749,2.533055,510.874666,0.089156,0.071835,2.595302
W5390,A,32.06587073,-103.5548297,12483,12320.85932,12735.3099,417.824564,72.584799,2.555091,125.94045,0.09051,0.063401,2.192919
W5391,A,32.065793,-103.552812,12510,12320.85932,12735.3099,417.824564,72.584799,2.555091,125.94045,0.09051,0.063401,2.192919
W5392,B,31.82653664,-103.5440733,8845,8494.330689,8886.185503,417.851191,106.286888,2.525155,384.972372,0.108086,0.074616,3.005348
W5393,A,31.84021483,-103.7790504,11067,10928.4346,11347.00985,417.93329,79.950959,2.520712,186.928346,0.090086,0.074658,2.507763
W5394,B,32.16723092,-103.7129374,9116,8843.649806,9264.50819,417.985595,71.602212,2.507844,636.519667,0.118232,0.091621,3.383015
W5395,A,31.88326056,-103.8933836,10314,10106.65945,10492.48677,418.013218,79.556853,2.518714,463.174694,0.092766,0.075588,2.630433
W5396,A,31.91252265,-103.8996812,10275,10130.6637,10533.17003,418.118078,79.007603,2.531403,631.093177,0.087953,0.070883,2.544977
W5397,A,31.8979472,-103.8914132,10409,10170.35067,10567.82371,418.176457,78.680217,2.523531,568.975466,0.090036,0.073179,2.568828
W5398,A,31.417032,-103.540833,10782,10637.00615,11066.08654,418.236277,72.862896,2.575333,56.011089,0.078133,0.060055,2.337298
W5399,A,31.415992,-103.540022,11018,10637.00615,11066.08654,418.236277,72.862896,2.575333,56.011089,0.078133,0.060055,2.337298
W5400,A,31.679475,-103.844698,10545,10445.94375,10851.04178,418.260067,87.660374,2.559539,150.17348,0.087564,0.068478,2.787708
W5401,A,31.67919459,-103.8472839,10569,10445.94375,10851.04178,418.260067,87.660374,2.559539,150.17348,0.087564,0.068478,2.787708
W5402,A,31.67907498,-103.8463255,10835,10445.94375,10851.04178,418.260067,87.660374,2.559539,150.17348,0.087564,0.068478,2.787708
W5403,A,31.67966196,-103.8433552,10846,10445.94375,10851.04178,418.260067,87.660374,2.559539,150.17348,0.087564,0.068478,2.787708
W5404,A,31.91235873,-103.9176753,10097,10005.43873,10389.95719,418.306262,79.812429,2.53121,525.747084,0.089364,0.072096,2.592109
W5405,A,31.91247937,-103.9157941,10329,10005.43873,10389.95719,418.306262,79.812429,2.53121,525.747084,0.089364,0.072096,2.592109
W5406,A,31.593422,-103.584598,11068,11023.9753,11405.63139,418.344758,86.872582,2.511107,43.662412,0.113826,0.07743,2.817881
W5407,A,31.89894,-103.89377,10334,10192.46967,10607.10041,418.393649,78.966461,2.535556,706.693487,0.086607,0.069215,2.514112
W5408,A,31.60852512,-103.8715451,10507,10377.45143,10794.85607,418.610447,88.862404,2.560537,148.749572,0.087405,0.062654,2.595339
W5409,A,31.608535,-103.86941,10536,10377.45143,10794.85607,418.610447,88.862404,2.560537,148.749572,0.087405,0.062654,2.595339
W5410,B,32.16708148,-103.8434389,9154,7887.118371,8305.76083,418.63655,95.467753,2.512775,294.985624,0.115347,0.088518,3.309606
W5411,A,31.62763939,-103.9040999,10299,10153.10128,10570.29199,418.665882,89.255869,2.566713,142.134084,0.083732,0.066547,2.59907
W5412,A,31.883044,-103.908775,10197,10064.74823,10449.75738,418.71589,79.457835,2.526231,525.839776,0.090376,0.073216,2.596878
W5413,A,32.085083,-104.156077,10240,9835.545318,10282.11098,418.739708,80.210764,2.598937,120.120319,0.064869,0.050097,2.236256
W5414,A,31.88468342,-103.8883834,10273,10222.43659,10628.32443,418.771027,78.436434,2.52604,623.685892,0.088817,0.07209,2.539881
W5415,A,31.92692621,-103.8906461,10376,10227.78519,10643.15334,418.818438,78.813422,2.534561,717.614143,0.086689,0.069425,2.509399
W5416,A,31.97121149,-103.9246751,10256,10125.01164,10566.15728,418.820127,80.27007,2.538678,336.421547,0.097491,0.062874,2.548348
W5417,A,31.679954,-103.873521,10454,10312.13,10723.56742,418.826119,88.45672,2.554155,167.978424,0.090245,0.071626,2.798625
W5418,A,32.106718,-103.561333,12409,12298.05168,12728.17163,418.863548,72.145195,2.561101,140.234644,0.087008,0.062406,2.192197
W5419,A,32.06579745,-103.5591882,12446,12298.05168,12728.17163,418.863548,72.145195,2.561101,140.234644,0.087008,0.062406,2.192197
W5420,A,32.06587576,-103.5569503,12512,12298.05168,12728.17163,418.863548,72.145195,2.561101,140.234644,0.087008,0.062406,2.192197
W5421,A,31.999915,-103.926992,10421,10171.39234,10601.51047,418.93182,80.025911,2.531861,145.828542,0.103803,0.063721,2.592222
W5422,B,32.28191177,-103.8271627,7708,7740.526167,8164.750365,418.989397,68.285084,2.582261,1496.002332,0.074696,0.072997,2.653372
W5423,B,32.28191177,-103.8271627,7708,7740.526167,8164.750365,418.989397,68.285084,2.582261,1496.002332,0.074696,0.072997,2.653372
W5424,A,31.88423386,-103.8798666,10316,10256.06852,10664.70342,419.000193,78.268483,2.525034,623.130388,0.088899,0.072263,2.534517
W5425,A,31.86210621,-103.838454,10630,10497.79826,10922.19915,419.012651,78.122476,2.513859,422.503589,0.091364,0.07516,2.533345
W5426,A,31.92756482,-103.6768776,11735.12,11557.32705,11992.66379,419.024301,80.752687,2.569479,71.755574,0.079501,0.065247,2.379748
W5427,A,31.76611799,-103.6127023,11045,11266.96848,11978.76675,419.051595,80.62872,2.5346,49.167463,0.101152,0.077071,3.236496
W5428,B,32.167136,-103.724024,9027,8834.518496,9260.801678,419.11916,74.026546,2.517293,708.027298,0.112706,0.09046,3.336643
W5429,B,32.167136,-103.724024,9052,8834.518496,9260.801678,419.11916,74.026546,2.517293,708.027298,0.112706,0.09046,3.336643
W5430,B,32.16725703,-103.7196662,9197,8834.518496,9260.801678,419.11916,74.026546,2.517293,708.027298,0.112706,0.09046,3.336643
