WellName,OilGravityAPI,GasGravity,SolutionGasOilRatio,InitialReservoirPressure,ReservoirTemperature,Bob,Boi,Bgi,Bwi,Coi,Cgi,Cwi,Cti,Coi(Vazquez-Beggs)
A729,46,0.7776,3510,7169.150879,169,3.255700546,3.115956939,0.000518676,1.007351895,2.61E-05,5.75E-05,2.29E-06,1.36E-05,2.61E-05
A730,47.9,0.8134,4909,11083.49902,195.7089233,4.454158313,3.949709362,0.000463892,1.006139582,2.36E-05,2.85E-05,2.14E-06,1.57E-05,2.36E-05
A731,46.3,0.78,1982.761321,10029,179.9003296,2.198240797,2.062064026,0.000464002,1.003632455,1.12E-05,3.41E-05,2.14E-06,9.11E-06,1.12E-05
A732,46.40878296,0.795351326,1911.128784,10370.43555,186.0249939,2.168701881,2.031429253,0.000464067,1.004719175,1.06E-05,3.21E-05,2.14E-06,1.02E-05,1.06E-05
A733,46.40878296,0.795351326,1892.56604,10249.41895,183.854187,2.154509464,2.020072735,0.000464804,1.004344047,1.06E-05,3.27E-05,2.14E-06,1.02E-05,1.06E-05
A734,46.15315628,0.796495616,1892.56604,10337.06445,185.2985077,2.155712546,2.020580908,0.000464406,1.004584447,1.05E-05,3.23E-05,2.14E-06,1.05E-05,1.05E-05
A735,46.15315628,0.796495616,1887.515015,10112.99316,181.2818909,2.149002867,2.016655651,0.000465503,1.003846991,1.07E-05,3.32E-05,2.14E-06,9.97E-06,1.06E-05
A736,46.15315628,0.796495616,1873.921875,10271.54199,184.1239777,2.142320376,2.009285614,0.00046465,1.00435637,1.05E-05,3.25E-05,2.14E-06,1.04E-05,1.05E-05
A737,46.15315628,0.796495616,1933.671143,10561.28613,189.3178253,2.18652414,2.045674955,0.000463268,1.005315818,1.06E-05,3.13E-05,2.15E-06,9.19E-06,1.05E-05
A738,46.2,0.8,2197.698781,10528.01953,188.7214966,2.368337105,2.205806382,0.000466098,1.005220599,1.18E-05,3.10E-05,2.15E-06,1.11E-05,1.18E-05
A739,45.8,0.78,1387.170848,10706.7666,185.8493958,1.817918812,1.719177642,0.000450864,1.003854046,7.89E-06,3.19E-05,2.12E-06,8.26E-06,7.80E-06
A740,45,0.78,2338.605897,10593.12012,181.9580536,2.434000865,2.265058742,0.000450077,1.002885433,1.24E-05,3.23E-05,2.11E-06,9.65E-06,1.23E-05
A741,48,0.78,5056.876204,6750.857422,183.1745148,4.477607371,4.375176187,0.000544574,1.012934628,3.95E-05,6.38E-05,2.37E-06,2.53E-05,3.95E-05
A742,48.8,0.78,5387.192764,6984.133301,170.2189484,4.738299949,4.575282762,0.000526979,1.008187704,4.03E-05,5.90E-05,2.31E-06,2.31E-05,4.03E-05
A743,48.8,0.78,4275.004173,6910.399414,168.4573059,3.858860057,3.708091384,0.000527841,1.007814974,3.26E-05,5.97E-05,2.31E-06,2.10E-05,3.26E-05
A744,45,0.8,4130.089904,9401.961914,192.3902435,3.776849392,3.47689165,0.000486413,1.009204909,2.36E-05,3.75E-05,2.24E-06,1.76E-05,2.36E-05
A745,41.25,0.78,1666.32,10106.06,176.34,1.973131834,1.867253227,0.000462904,1.002324497,9.44E-06,3.30E-05,2.12E-06,1.10E-05,9.43E-06
A746,49.4,0.78,4528.016542,13504.54199,325.0221558,4.214652845,3.790334847,0.000537327,1.057662426,2.21E-05,1.36E-20,3.05E-06,1.55E-05,1.96E-05
A747,54.4,0.78,6152.790596,6350.11377,177.500885,5.44973876,5.400534531,0.000554571,1.01211895,5.06E-05,6.96E-05,2.37E-06,3.35E-05,5.06E-05
A748,51.30042267,0.77406764,3575.54248,6582.854492,182.8652649,3.349932527,3.233629791,0.000549923,1.013273825,2.93E-05,6.68E-05,2.38E-06,1.71E-05,2.94E-05
A749,51.3,0.8,3375.905278,6256.240723,169.3189392,3.230256531,3.113721352,0.000553165,1.009764028,2.89E-05,6.88E-05,2.35E-06,2.14E-05,2.89E-05
A750,50.4,0.78,4005.588746,11949.36035,326.5310669,3.817666685,3.448588627,0.000539526,1.058541464,2.00E-05,2.47E-05,3.07E-06,1.37E-05,2.00E-05
A751,52.5,0.78,5208.001198,6496.500488,177.75177,4.644516676,4.542095202,0.000549492,1.011838601,4.22E-05,6.72E-05,2.37E-06,2.85E-05,4.22E-05
A752,44.3,0.78,2007.212682,9948.375977,177.6613007,2.205082659,2.072076615,0.000466073,1.003127249,1.14E-05,3.40E-05,2.14E-06,1.19E-05,1.14E-05
A753,47,0.78,2180.543471,8897.098633,179.7986908,2.333474348,2.196479996,0.000486013,1.006399608,1.38E-05,4.09E-05,2.21E-06,1.28E-05,1.38E-05
A754,44,0.78,2304.353018,8975.990234,181.3929749,2.405779431,2.266797038,0.00048542,1.006707431,1.43E-05,4.04E-05,2.22E-06,1.13E-05,1.43E-05
A755,46.61167526,0.794441164,1186.106934,10320.44434,176.2608948,1.695221353,1.612793201,0.000461414,1.001763341,6.96E-06,3.15E-05,2.10E-06,8.92E-06,6.96E-06
A756,55.43621063,0.756946981,5001.753906,6149.884277,171.5408478,4.443314327,4.391850697,0.000555829,1.01072295,4.28E-05,7.40E-05,2.37E-06,2.97E-05,4.28E-05
A757,47.7,0.78,3505.607625,8047.187988,177.9463348,3.277102497,3.083851311,0.000503471,1.007945187,2.34E-05,4.78E-05,2.26E-06,1.71E-05,2.34E-05
A758,47.801,0.789,2236.21,9722,182,2.385305863,2.22883396,0.000473394,1.005035864,1.29E-05,3.52E-05,2.17E-06,9.82E-06,1.29E-05
A759,47.801,0.789,2236.21,9848,184,2.38702241,2.228847968,0.000472555,1.005376924,1.28E-05,3.46E-05,2.17E-06,9.78E-06,1.28E-05
A760,47.80128098,0.789175332,2204.941162,9933.442383,189.4900513,2.370450978,2.213152784,0.000474262,1.006928001,1.26E-05,3.44E-05,2.19E-06,1.15E-05,1.26E-05
A761,47.80128098,0.789175332,2234.960938,9861.394531,188.1156769,2.389869699,2.231218816,0.000474615,1.006654322,1.28E-05,3.47E-05,2.19E-06,1.16E-05,1.28E-05
A762,47.80128098,0.789175332,2234.960938,9863.878906,188.1630707,2.389910394,2.231256358,0.000474643,1.00666972,1.28E-05,3.47E-05,2.19E-06,1.16E-05,1.28E-05
A763,45,0.8,5531.801227,8436.084961,173.9761963,4.868004653,4.510679949,0.000494325,1.005714314,3.42E-05,4.33E-05,2.22E-06,2.46E-05,3.42E-05
A764,48.50111008,0.786104023,3522.60376,7239.007813,184.7788086,3.312126695,3.15854316,0.000530779,1.012221483,2.63E-05,5.71E-05,2.34E-06,2.12E-05,2.63E-05
